OBJECTID,A_NUMBER,A_TYPE,A_DATE,A_STATUS,A_STATUS_DATE,A_PROJECT_NAME,A_DESCRIPTION,A_USER_ID,A_CASE_PLANNER,CODE,DESCR,CODE_1,DESCR_1,USER_NAME,EMAIL,ORIG_FID,CreationDate,Creator,EditDate,Editor,x,y
98,D2100124,PL_MINSP,4/26/2021 11:55:14 AM,APP,7/28/2021 9:13:55 PM,Durham Academy Middle School - Phase 2 Site Improvements,"Construction of new building, parking and demolition of existing building",KEAGANSA,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,98,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016131.70710261,807606.807812482
99,D0900018,PL_MINSP,2/2/2009 10:00:24 AM,APP,6/20/2011 8:19:35 AM,Greater Zion Wall Baptist Church,"Recombination of seven parcels into two parcels of 1.188 acres. Also proposed 7,186 square foot santuary addition to existing 2,709 square foot place of worship with 38 additional parking spaces",LEEDA,MSTOCK,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,99,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032996.27194636,815893.631640613
108,D1200061,PL_MINSP,4/5/2012 9:26:08 AM,APP,8/3/2012 3:48:57 PM,Gateway Terrace,"Commercial, office, restaurants and 4-story hotel",JEANETTEBR,LDARDEN,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,108,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2002905.82663386,801804.948046863
113,D1400297,PL_MINSP,9/16/2014 1:44:52 PM,APP,3/31/2015 9:35:14 AM,Waste Industries Stormwater Basin,"Stormwater Basin Expansion to decrease TSS from Parking Lot, 1.6 acres disturbance",DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,113,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2042408.31530572,801179.303124979
116,D1400004,PL_SSP_SM,1/14/2014 1:03:47 PM,APP,5/27/2014 9:24:52 AM,Medquest Renovations,"Site modifications to bring parcel into compliance and add paved pad on north side of lot zoned OI and F/J-B, and located at 5107 Southpark Drive.",TDANNER,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,116,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016969.87116511,786534.030859351
123,D0800219,PL_MINSP,9/15/2008 1:29:52 PM,APP,3/25/2010 9:51:01 AM,New Middle School B (Treyburn Middle School) and Park,"158,038 square foot educational facility, 2,863 square foot concession stand and City park on 31.833 acres, in both the City and the County",LEEDA,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,123,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033540.47507136,858617.24804686
131,COA1800007,PL_MJ_COA,2/5/2018 4:37:23 PM,APP,4/10/2018 10:16:37 AM,109 N Church Street - Addition and Modifications,"Add a terrace on the roof of the building with a small penthouse enclosure to cover the stairs that provide access up to the roof.
",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,131,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029698.73054011,817052.192968726
138,D1800258,PL_MINSP,7/31/2018 9:32:02 AM,APP,5/9/2019 10:53:45 AM,4950 Chapel Hill Blvd,Mass Grading,AMANDAHO,ELIZAMO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Eliza Monroe,Eliza.Monroe@durhamnc.gov,138,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2003648.10554011,804433.727343738
140,D2200173,PL_MINSP,5/25/2022 11:27:46 AM,APP,2/1/2023 4:37:43 PM,Pineview Glen Town homes - Mass Grading,Mass grading only site plan for residential townhome project.,JUSTINH,KEAGANSA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Keagan Sacripanti,Keagan.Sacripanti@durhamnc.gov,140,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2056099.00124323,792657.399609357
143,D2000220,PL_MINSP,9/15/2020 2:57:01 PM,APP,12/31/2020 10:46:14 AM,Checker's,Demolish existing and construct a new building and associated site improvements,COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,143,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028636.54421198,807491.661328107
149,D1900087,PL_MINSP,4/3/2019 11:43:26 AM,APP,8/2/2019 10:39:08 AM,617 Morehead Avenue Expansion,"Approximate 1200 sq ft addition to building, modify and expand vehicle use area. Located in Local Historic District.",COLERE,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,149,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2026328.02194636,815725.687890604
157,COA1800012,PL_MJ_COA,1/31/2018 12:00:00 AM,AP_CON,5/4/2018 5:26:21 PM,115 N Duke Street - Modification and Sign,Manufacture & install one set of illuminated channel letters to match existing letters.  Propose to add a tagline centered directly under PRESCIENT.  The square footage of the sign will increase by 19 square feet to 47.84 square feet of signage on Gregson Street sign of the building.,KROSENBERG,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,157,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2027199.38991511,818981.562499985
158,COA1200007,PL_MJ_COA,2/1/2012 12:00:00 AM,APP,4/10/2012 2:23:14 PM,1106 Alabama Ave - New Garage,Addition of new garage ,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,158,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020322.62546198,824915.398046851
160,D1000024,PL_MINSP,1/29/2010 11:11:15 AM,APP,8/5/2010 3:35:10 PM,City of Medicine Academy,"40,519 square foot 3-story high school on 6.99 acres of a 100.492 acre site zoned OI and F/J-B",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,160,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028983.23014948,832134.567968726
164,Z1900051,D_REZ,11/11/2019 12:00:00 AM,APP,7/25/2023 4:12:16 PM,Long Beverage,Rezoning for future parking and warehouse expansion ,JOANNEG,EMILYST,APP,Approved,D_REZ,Zoning Map Change,Emily Struthers,Emily.Struthers@durhamnc.gov,164,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2053772.64811823,781018.160156235
165,D1300173,PL_MINSP,6/20/2013 9:12:20 AM,APP,7/15/2014 4:13:07 PM,Duke University Major Hospital Addition and Cancer Center Amendment 4,Revisions to parking lot and addition of right turn lane onto Ed Drive for hospital zoned UC,LEEDA,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,165,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
166,Z1300026,D_REZ,9/9/2013 2:32:40 PM,APP,2/7/2014 2:26:02 PM,Ellis Road Residential,a maximum of 95 residential units and associated site improvements,JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,166,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2039410.74538386,800109.976562485
176,D1800016,PL_MINSP,1/23/2018 2:01:18 PM,APP,5/2/2018 2:13:18 PM,bioMerieux Warehouse Expansion,"19,000 sf of warehouse and parking",JESSICADO,JESSICADO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jessica Dockery,Jessica.Dockery@durhamnc.gov,176,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2051513.15671198,855202.698046863
182,D1800099,PL_MINSP,4/3/2018 9:06:03 AM,APP,8/9/2018 9:20:31 AM,Snikroc,Townhome Residential Development,KARENPA,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,182,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2062044.8836651,809244.449218735
188,D2100116,PL_MINSP,4/15/2021 9:16:46 AM,APP,10/8/2021 8:48:40 AM,Forty and Page,"90 THs, 1 SCM and associated infrastructure",KIMRO,ELIZAMO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Eliza Monroe,Eliza.Monroe@durhamnc.gov,188,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2052341.11061823,778946.90429686
189,Z1800019,D_REZ,8/13/2018 12:00:00 AM,APP,4/16/2019 10:03:54 AM,Odyssey Townes,Rezoning from CC and RS-M to CG(D) to allow for townhouse and retail.,GSMITH,EMILYST,APP,Approved,D_REZ,Zoning Map Change,Emily Struthers,Emily.Struthers@durhamnc.gov,189,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032341.70671198,792340.028906226
193,D0700585,PL_SSP_SM,11/27/2007 4:26:39 PM,APP,8/31/2009 1:25:54 PM,Duke Fed Credit Union ATM,Install ATM in an existing parking lot on a 0.03 acre portion of a 99.06-acre tract at Durham Regional Hospital. Project in southeast corner of parking lot near entrance at N. Roxboro Street and Olympic Avenue.,TDANNER,JMORRIS,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,193,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028983.23014948,832134.567968726
203,Z1300014,D_REZ,5/28/2013 2:14:38 PM,APP,4/9/2014 10:16:39 AM,Chapel Creek,105 residential units,JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,203,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2001925.01374324,786473.390234351
206,D1500224,PL_MINSP,8/18/2015 9:59:24 AM,APP,1/15/2016 9:15:13 AM,Aramark Durham Building Expansion,"10,891 sq. ft. expansion of existing Laundry/Office/Warehouse on 1.22 acres",DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,206,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2036554.9352276,806684.264843732
212,COA1700040,PL_MJ_COA,4/11/2017 12:55:03 PM,AP_CON,6/14/2017 3:03:38 PM,906 Arnette Ave - New Addition,Construction of a new addition measuring 17 feet in length and 25 feet in width. All materials will match exisiting structure,LROBERTSON,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,212,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025254.05671199,816134.854296863
213,COA1200071,PL_MJ_COA,8/1/2012 3:38:48 PM,APP,9/5/2012 4:20:04 PM,1306 Broad Street,"new rear enclosed porch, new siding adn stucco, and new and replacement windows",LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,213,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2024058.91686822,826042.41210936
217,D1000204,PL_SSP_SM,9/15/2010 8:16:33 AM,APP,10/11/2010 2:54:32 PM,Durham County Justice Building Storm Pipe Amendment,Amendment to D0800181 to relocate the storm pipe and easement at the corner of Roxboro Road and Pettigrew Street.,JEANETTEBR,AKRAMER,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,217,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029339.26804011,816176.043749988
225,D1800378,PL_MINSP,11/28/2018 11:52:35 AM,APP,4/14/2020 5:05:51 PM,Elan Innovation District,Mixe of uses including retail and residential. Zoned DD-C,JOHNRA,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,225,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028333.90632136,818879.684374988
226,Z1700033,D_REZ,8/18/2017 9:50:52 AM,DEN,2/27/2018 10:21:55 AM,251 Smallwood,A request to rezone 7.5 acres of OI zoning to IL. No development plan. Denied by BOCC on 2/26/18,JOANNEG,JWIGGINS,DEN,Denied,D_REZ,Zoning Map Change,Jacob Wiggins,jacob.wiggins@durhamnc.gov,226,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2052825.45007135,786566.359765604
240,COA2200009,PL_MJ_COA,2/11/2022 12:00:00 AM,AP_CON,5/26/2022 11:20:39 AM,812 Lancaster - Modifications,"Removal of existing rear bathroom and sun deck, addition of rear master bathroom",KROSENBERG,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,240,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025694.84343073,822783.652343735
242,COA1200027,PL_MJ_COA,3/28/2012 12:00:00 AM,APP,5/11/2012 12:18:07 PM,1100 Virginia Ave - Conversion ,Convert a duplex back into a single family home,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,242,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020848.46374322,824748.060937479
243,D2100156,PL_MINSP,6/4/2021 8:48:19 AM,APP,2/2/2022 2:51:21 PM,ALTA Rutherford,Multifamily Apartments,KIMRO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,243,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020729.0367901,822564.644140601
246,COA1200018,PL_MJ_COA,2/27/2012 12:00:00 AM,APP,4/25/2012 3:18:36 PM,1307 Maryland Ave - Garage,Addition of garage to replace existing garage,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,246,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022897.01491511,825862.901562482
254,Z1700048,D_REZ,11/30/2017 9:00:05 AM,APP,4/17/2018 9:41:06 AM,Lumley Road Assemblage,"A request to rezone four parcels from RR to OI - straight rezoning, no development plan. ",JOANNEG,JWIGGINS,APP,Approved,D_REZ,Zoning Map Change,Jacob Wiggins,jacob.wiggins@durhamnc.gov,254,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2046851.24069636,793535.127343729
258,D2300117,PL_MINSP,4/28/2023 3:12:11 PM,APP,9/30/2024 4:45:44 PM,Falls Village Amenity Center,This is the amenity center for all Falls Village projects. This is located between Falls Village North and Falls Village phases 4-5-6.,TREYFI,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,258,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2066031.37311824,815021.696093738
261,D1300242,PL_SSP_SM,8/13/2013 9:49:55 AM,APP,10/22/2013 10:38:45 AM,The Heights at Meridian Amendment 2,"Remove mail kiosk, adjust entrance curbline, and revise pool area. ",DCULTRA,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,261,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029381.60554011,785741.776562482
264,D2100264,PL_MINSP,8/18/2021 2:54:43 PM,APP,3/23/2022 1:37:09 PM,Triangle Vision,Removal/replacement of two existing buildings,TREYFI,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,264,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2031866.16530573,782877.549218729
265,D1200248,PL_MINSP,10/9/2012 9:04:08 AM,APP,1/28/2014 1:18:32 PM,Greater Emmanuel Full Gospel Baptist Church,"6,174 sq ft place of worship on 1.041 acres zoned CN, and located at 1706 East Pettigrew Street",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,265,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2034413.98835261,811942.114843726
266,D1900171,PL_MINSP,5/30/2019 2:10:44 PM,APP,4/3/2020 1:56:42 PM,Ellis Road Phase 3 ,"37 Townhome units, 102 Attached S-F units (called Duplex), 146 Detached S-F lots",ROBINSH,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,266,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2040942.16804011,801418.946484357
267,D1200316,PL_SSP_SM,11/29/2012 10:07:37 AM,APP,3/12/2013 4:57:59 PM,Forest Hills Pool Project,Site Improvements at Forest Hills pool,JEANETTEBR,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,267,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025974.62546198,812011.613281235
273,D1200285,PL_MINSP,11/1/2012 10:02:23 AM,APP,4/2/2013 9:49:45 AM,Home 2 Suites Hotel,"Construction of a four-story, 100 room hotel.",JEANETTEBR,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,273,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044848.40085261,775163.066015601
274,COA1500083,PL_MJ_COA,7/31/2015 11:25:02 AM,APP,9/24/2015 11:32:21 AM,807 Vickers Ave - New Construction,Relocate house at 507 Yancey Street to 807 Vickers Ave. Work includes removal of two roiginal chimneys; repair of roof and addition of new concrete pad ,KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,274,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2026199.30671199,816534.72851561
277,D1500278,PL_SSP_SM,9/29/2015 10:49:23 AM,APP,11/19/2015 4:47:00 PM,Duke Robotics Lab,Provide new access driveway to provide access to new door being added to the Duke Robotics Lab,DACIARE,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,277,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
284,D1600223,PL_MINSP,8/9/2016 9:01:30 AM,APP,3/31/2017 8:41:52 AM,Farrington Road Mixed Use,298 apartment units and 555 SF of office space with associate frontage and offsite improvements.,DACIARE,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,284,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2004167.30007136,787941.421093732
291,A1900003,PL_CPAA,2/14/2019 10:49:15 AM,COM,8/17/2020 2:06:17 PM,Cole Property,"From Rural Density Residential (RDR, 0.5DU/acre or less) to Very Low Density Residential (VLDR, 2DU/acre or less); Tier change from Rural Tier to Suburban Tier",DCULTRA,EMILYST,COM,Complete,PL_CPAA,Comprehensive Plan Map or Plan Amendment,Emily Struthers,Emily.Struthers@durhamnc.gov,291,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2065915.2789776,815129.52929686
293,COA1500089,PL_MJ_COA,8/26/2015 12:00:00 AM,APP,10/20/2015 3:42:13 PM,720 Shepherd Avenue,"Demolition of garage (built in 1960), new garage will be built on the same plot. New concrete foundation, ",GSMITH,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,293,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025617.09030573,816846.957031235
298,D1900166,PL_SSP_SM,5/29/2019 11:48:28 AM,APP,7/11/2019 4:16:30 PM,Central Park One Site Improvements,Add sidewalk and pavillion,COLERE,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,298,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044947.51530573,777050.178124979
